,x,y,z,mae
102,BTC-GBP,ETH-GBP,1,0.8411153396881803
103,BTC-GBP,ETH-GBP,2,0.8241451067000952
104,BTC-GBP,ETH-GBP,3,0.43610950381589614
105,BTC-GBP,ETH-GBP,4,0.440044576575509
106,BTC-GBP,ETH-GBP,5,0.40271791176438776
107,BTC-GBP,ETH-GBP,6,0.37721586658939077
108,BTC-GBP,REP-BTC,1,0.784421210689161
109,BTC-GBP,REP-BTC,2,0.598561424308427
110,BTC-GBP,REP-BTC,3,0.3326758929438324
111,BTC-GBP,REP-BTC,4,0.3339635139885256
112,BTC-GBP,REP-BTC,5,0.3340561962641325
113,BTC-GBP,REP-BTC,6,0.3308229433106578
114,BTC-GBP,REP-ETH,1,0.8030397122573444
115,BTC-GBP,REP-ETH,2,0.6030286356678274
116,BTC-GBP,REP-ETH,3,0.29226758614523507
117,BTC-GBP,REP-ETH,4,0.27921377343567744
118,BTC-GBP,REP-ETH,5,0.2759919259650266
119,BTC-GBP,REP-ETH,6,0.2654534576930426
120,BTC-GBP,REP-GBP,1,0.7675255657092341
121,BTC-GBP,REP-GBP,2,0.6920304364411607
122,BTC-GBP,REP-GBP,3,0.6088170684703187
123,BTC-GBP,REP-GBP,4,0.5913431158204046
124,BTC-GBP,REP-GBP,5,0.5676158747562452
125,BTC-GBP,REP-GBP,6,0.5661613474330999
126,BTC-GBP,XLM-BTC,1,0.7885608502732099
127,BTC-GBP,XLM-BTC,2,0.7795910557448642
128,BTC-GBP,XLM-BTC,3,0.7666797905877168
129,BTC-GBP,XLM-BTC,4,0.7638995991887272
130,BTC-GBP,XLM-BTC,5,0.7561294429422771
131,BTC-GBP,XLM-BTC,6,0.7567261855347455
132,BTC-GBP,XLM-ETH,1,0.8885027943917576
133,BTC-GBP,XLM-ETH,2,0.6966325966334038
134,BTC-GBP,XLM-ETH,3,0.5694538454426294
135,BTC-GBP,XLM-ETH,4,0.5678813923807661
136,BTC-GBP,XLM-ETH,5,0.5583848230702848
137,BTC-GBP,XLM-ETH,6,0.5384472136772431
138,BTC-GBP,XLM-GBP,1,0.8315536250137958
139,BTC-GBP,XLM-GBP,2,0.8302121206180573
140,BTC-GBP,XLM-GBP,3,0.4383496641779515
141,BTC-GBP,XLM-GBP,4,0.44013682877779303
142,BTC-GBP,XLM-GBP,5,0.4016139565434273
143,BTC-GBP,XLM-GBP,6,0.4021931603776993
144,BTC-GBP,SOL-BTC,1,0.8692041018747748
145,BTC-GBP,SOL-BTC,2,0.830390955321594
146,BTC-GBP,SOL-BTC,3,0.6249380913706511
147,BTC-GBP,SOL-BTC,4,0.6279295779246575
148,BTC-GBP,SOL-BTC,5,0.626937247335243
149,BTC-GBP,SOL-BTC,6,0.5826551455194914
150,BTC-GBP,SOL-ETH,1,0.8739820779228039
151,BTC-GBP,SOL-ETH,2,0.8397627020541439
152,BTC-GBP,SOL-ETH,3,0.6309828303881568
153,BTC-GBP,SOL-ETH,4,0.6327772469485833
154,BTC-GBP,SOL-ETH,5,0.6329461397290771
155,BTC-GBP,SOL-ETH,6,0.5960347143375212
156,BTC-GBP,SOL-GBP,1,0.8014850181514421
157,BTC-GBP,SOL-GBP,2,0.803278923369652
158,BTC-GBP,SOL-GBP,3,0.5513499639513492
159,BTC-GBP,SOL-GBP,4,0.551589211493246
160,BTC-GBP,SOL-GBP,5,0.5460111662895318
161,BTC-GBP,SOL-GBP,6,0.5065610300138242
162,BTC-GBP,0,1,2.487427455734083
163,BTC-GBP,0,2,2.202642328591147
164,BTC-GBP,0,3,1.284047502769261
165,BTC-GBP,0,4,1.2790021719674325
166,BTC-GBP,0,5,1.2788010458035999
167,BTC-GBP,0,6,1.1709703169986865
168,BTC-GBP,1,1,1.289312761673602
169,BTC-GBP,1,2,1.226313212031827
170,BTC-GBP,1,3,1.0855570625911513
171,BTC-GBP,1,4,1.0606433420455605
172,BTC-GBP,1,5,1.0288973155386565
173,BTC-GBP,1,6,1.0275425018145883
174,BTC-GBP,2,1,0.8656708129135496
175,BTC-GBP,2,2,0.6105524236005385
176,BTC-GBP,2,3,0.6131840862496214
177,BTC-GBP,2,4,0.6153114687356143
178,BTC-GBP,2,5,0.6136887422515548
179,BTC-GBP,2,6,0.5774242935018427
180,BTC-GBP,3,1,0.5524549432468078
181,BTC-GBP,3,2,0.5226766885760034
182,BTC-GBP,3,3,0.4971787660360269
183,BTC-GBP,3,4,0.4969769331802326
184,BTC-GBP,3,5,0.4947278459009115
185,BTC-GBP,3,6,0.49499873039208026
186,ETH-BTC,ETH-GBP,1,0.8411153396881803
187,ETH-BTC,ETH-GBP,2,0.8134803492948254
